name,price,cat
Dragea de Morango 70 Sem,"370,00",chocolates
Gotas ao Leite Sicao,"188,99",chocolates
Gotas Meio Amargo,"149,99",chocolates
Gotas Mini 70,"350,00",chocolates
Trufas 45% Cac ao Leite/Coco 0% Açúcar/Lactose C/Vit Abd,"480,00",chocolates
Trufas 55% Cac ao Leit/Coco Creme Avelâ 0% Açúcar/Lactose C/Vit Abd,"480,00",oleaginosas
Abacaxi Cristalizado,"149,99",frutas
Açúcar de Coco,"69,99",adocantes
Açúcar Demerara Organico,"49,99",adocantes
Açúcar Mascavo Claro,"19,99",adocantes
Açúcar Mascavo Escuro,"24,99",adocantes
Agar Agar em Pó,"162,00",culinarios
Aipim Chips,"100,00",snacks
Ajinomoto/Glutamato,"89,99",temperos
Albumina,"259,99",suplementos
Alcachofra Folha,"169,99",chas
Alecrim Flocos,"89,99",chas
Alecrim Pó,"49,00",ervas
Alfavaca,"99,99",chas
Alfazema Roxa/Lavanda,"149,99",chas
Alho Cebola & Salsa,"99,99",temperos
Alho em Pó ( Chines ),"89,99",temperos
Alho Flocos Granulado,"129,99",temperos
Alho Frito,"99,99",temperos
Alho Pó,"99,99",temperos
Alho Poro Flocos,"99,99",temperos
Ameixa sem Caroco,"99,99",frutas
Amêndoas Crua S/ Casca,"199,99",oleaginosas
Amêndoas Defumada Torrada,"199,99",oleaginosas
Amêndoas Laminada S/ Pele,"209,99",oleaginosas
Amendoim Croc Bacon,"59,99",oleaginosas
Amendoim Croc Churrasco,"59,99",oleaginosas
Amendoim Croc Mostarda e Mel,"59,99",oleaginosas
Amendoim Croc Picante,"59,99",oleaginosas
Amendoim Croc Queijo,"59,99",oleaginosas
Amendoim Crocante,"59,99",oleaginosas
Amendoim Granulado,"39,99",oleaginosas
Amendoim S/ Pele Torrado Sal,"39,00",oleaginosas
Amendoim Salsa/Cebola,"59,99",oleaginosas
Amendoim Torrado S/ Sal,"49,99",oleaginosas
Amido de Milho,"15,99",farinhas
Amora Folhas,"99,99",chas
Ana Maria Tempero,"79,99",temperos
Anis Estrelado,"199,99",temperos
Arnica,"99,00",ervas
Aroeira Folha,"59,99",chas
Arruda,"200,00",ervas
Artemisia,"99,00",ervas
Ashwagandha em Pó,"279,99",funcionais
Aveia em Flocos Fino S/ Gluten,"16,99",cereais
Aveia Flocos Grauda (Laminada),"18,90",cereais
Aveia Flocos Normal,"19,90",cereais
Avelã S/Casca,"259,99",oleaginosas
Bacon em Pó,"240,00",temperos
Banana Chips,"109,99",snacks
Banana Palha Desidratada,"79,00",frutas
Banana Passas,"129,99",frutas
Bananinha Fitness Doce Morelli,"3,50",snacks
Barbatimao Casca,"89,99",chas
Batata Chips Salgada,"100,00",snacks
Batata Doce Palito Bacon Vegano,"279,99",snacks
Batata Doce Palito Churrasco,"279,99",snacks
Batata Palito Doce Ceb & Salsa,"279,99",snacks
BCAA,"249,99",suplementos
Berinjela Pó,"69,00",funcionais
Bicarbonato Sodio,"17,99",farinhas
Biscoito Arroz Barbecue,"99,99",snacks
Biscoito de Arroz Cebola e Salsa,"99,99",snacks
Biscoito de Canela,"12,00",snacks
Biscoito Tipo Amantegado,"12,00",snacks
Blueberries (Mirtilo),"150,00",frutas
Cacau em Pó 70% Alcalino,"199,99",chocolates
Cacau em Pó Alcalino Black,"199,99",chocolates
Cacau em Pó Soluvel Natural,"159,99",chocolates
Cacau Nibs,"179,99",chocolates
Caldo Bacon,"29,99",temperos
Caldo Camarao,"24,99",temperos
Caldo de Carne,"22,00",temperos
Caldo de Galinha,"29,99",temperos
Caldo de Bacalhau,"54,00",temperos
Caldo Peixe,"29,99",temperos
Camomila Flor,"119,99",chas
Cana do Brejo,"99,99",chas
Cana do Brejo 30G,"4,90",ervas
Canela em Pau,"169,99",temperos
Canela Pó Pura,"129,99",temperos
Canjica Branca,"12,99",cereais
Capim Cidrao,"99,99",chas
Cardamomo em Pó,"500,00",temperos
Cardamomo Sementes,"600,00",temperos
Cardo Mariano,"99,99",chas
Carqueja,"169,99",chas
Cascara Sagrada,"199,00",ervas
Cast Caju Torr Salgada,"179,99",oleaginosas
Cast Caju W1 Torr S/ Sal,"179,99",oleaginosas
Cast. Caju Trit/Xerem,"119,99",oleaginosas
Castanha Caramelo C/ Coco,"189,99",oleaginosas
Castanha Caramelo C/ Gergelim,"199,99",oleaginosas
Castanha da India 30G,"6,90",oleaginosas
Castanha do para Inteira,"189,99",oleaginosas
Castanha do para Quebrada,"120,00",oleaginosas
Catuaba em Pó,"89,99",funcionais
Cavalinha Folhas,"149,99",chas
Cebola Crispy,"99,99",temperos
Cebola em Pó,"99,99",temperos
Cebola Granulada Desidratada,"99,99",temperos
Centella Asiatica,"199,99",chas
Cha da Vida/Desincha Rasurado,"99,99",chas
Cha de Bugre,"49,99",chas
Cha Picao Preto,"99,99",ervas
Cha Preto,"149,99",chas
Cha Verde Folha,"79,99",chas
Chia Farinha,"49,00",farinhas
Chia Sementes Preta,"69,99",sementes
Chimi Churri Defumado,"119,99",temperos
Chimi Churri S/Sal e Pimenta,"99,99",temperos
Chlorella em Pó,"399,99",chas
Chocolate 50% Cacau,"169,99",chocolates
Cidra Desidratada,"129,99",frutas
Coco Chips,"149,90",snacks
Coco Chips C/ Cacau,"159,99",snacks
Coco Chips C/ Cafe,"159,99",snacks
Coco Chips Capuccino,"159,99",snacks
Coco Ralado Fino,"17,99",farinhas
Coco Ralado Flocos,"99,99",frutas
Coentro em Pó,"79,99",temperos
Coentro Folhas Desidratado,"139,00",temperos
Coentro Sementes,"69,99",temperos
Cogumelo Desidratado,"120,00",cogumelos
Cogumelo Shitake Seco,"229,99",cogumelos
Colageno H Abacaxi Hortela,"179,99",suplementos
Colageno Hidrolisado,"199,99",suplementos
Colorau,"49,99",temperos
Cominho Grãos,"159,99",temperos
Cominho Pó,"99,99",temperos
Couscous Marroquino Medio,"89,00",cereais
Cranberries Seca Imp,"99,99",frutas
Cravo da India Flor,"199,99",temperos
Cravo em Pó Puro,"149,99",temperos
Creatina Monohidratada Lt,"149,99",suplementos
Creme de Cebola,"69,99",temperos
Croutons Bacon,"129,99",temperos
Croutons Cebola,"129,99",temperos
Croutons Queijo,"129,99",temperos
Cúrcuma Pura,"99,99",temperos
Curry,"69,99",temperos
Damasco Turco N-2,"179,99",frutas
Dente de Leao,"149,99",chas
Desincha - Chá Vida,"99,99",chas
Detox Desicnha,"149,99",chas
Dragea de Banana 70 Cacau,"320,00",chocolates
Dragea de Cast de Caju 45,"370,00",chocolates
Dragea de Cereja Maraschino,"390,00",chocolates
Dragea Trufada Belga 45,"389,00",chocolates
Dragea Trufada de Maracuja,"445,00",chocolates
Endro Sementes,"59,00",temperos
Eritritol,"69,99",adocantes
Erva de Bicho,"89,00",ervas
Erva de Sao Joao,"89,99",chas
Erva Doce em Pó,"89,00",ervas
Erva Doce Semente,"99,99",chas
Ervas de Provence,"149,99",temperos
Ervas Finas,"119,99",temperos
Ervilha Torrada com Wasabi,"79,99",leguminosas
Espinheira Folhas,"119,99",chas
Espirulina,"44,90",funcionais
Estragao Desidratado,"450,00",temperos
Farelo Aveia,"22,99",farinhas
Farinha Batata Yacon,"120,00",farinhas
Farinha de Amêndoas,"199,99",farinhas
Farinha de Amendoim,"69,99",farinhas
Farinha de Arroz Branca,"20,99",farinhas
Farinha de Arroz Integral,"19,99",farinhas
Farinha de Aveia,"21,99",farinhas
Farinha de Aveia Integral,"179,99",farinhas
Farinha de Banana Verde,"79,99",farinhas
Farinha de Beterraba,"129,99",farinhas
Farinha de Centeio,"10,90",farinhas
Farinha de Coco,"59,99",farinhas
Farinha de Grão de Bico,"34,99",farinhas
Farinha de Maracuja,"99,99",farinhas
Farinha de Uva,"99,99",farinhas
